id,Unnamed: 0,propertyType,name,publishedOn,address,latitude,longitude,price,priceActual,priceMax,priceMin,livingRooms,beds,bedsMax,bedsMin,isRetirementHome,isSharedOwnership,studentFriendly,features
66461652,50,flat,1 bed flat to rent,2024-01-22T19:41:22,"Gloucester Road, Larkhall, Bath BA1",51.397492,-2.342062,4150,4150,4250,4000,1,1,1,1,False,False,False,"['On-site Bistro style restaurant with expert chef', 'Flexible care tailored to your needs and preferences', 'Beautifully maintained, landscaped gardens', 'Great community with a Village feel and independent shops', 'Historic city centre nearby with Larkhall within walking distance', 'Balconies overlooking a babbling brook to numerous apartments', '24 hour staffing', 'Wheelchair access', 'Lifts to all floors', 'Camera entry system']"
67029286,51,terraced,3 bed property to rent,2024-04-04T12:48:47,"Audley Grove, Bath BA1",51.38615,-2.384657,2300,2300,2500,2250,0,3,3,3,False,False,False,"['Detached House', 'Not suitable for sharers or students', 'Garden access to Royal Victoria Park', 'Three bedrooms plus office', 'Off road parking space', 'Enclosed rear garden with side access', 'EPC Rating C']"
67061723,52,flat,3 bed flat to rent,2024-04-09T07:50:58,"Catharine Place, Bath BA1",51.38766,-2.36594,2500,2500,2500,2500,1,3,3,3,False,False,False,"['Short term let', 'Sought after location', 'Three double bedrooms', 'Modern kitchen', 'Spacious and bright living room', 'Private residents gardens', 'Central parking permit', 'Just under a mile to Bath station', 'Unfurnished', 'Available March']"
65753003,53,terraced,4 bed property to rent,2023-10-04T12:18:05,"Station Road, Lower Weston, Bath BA1",51.38381,-2.388895,5500,5500,5500,5500,1,4,4,4,False,False,False,"['Short &amp; long term lets available', 'Fully serviced accomodation', 'All bills included', 'Fortnightly cleans', 'All linen included', 'All coockware included', '14 days cancellation']"
66989195,54,flat,2 bed flat to rent,2024-03-28T15:15:13,"Lower Bristol Road, Bath BA2",51.387306,-2.406024,1195,1195,1250,1000,1,2,2,2,False,False,False,"['Spacious two bedroom apartment', 'Bristol side of Bath', 'Electric central heating', 'Laminate flooring throughout', 'Modern open plan kitchen/Living room', 'Shower room', 'Built in wardrobes', 'Gated parking', 'Unfurnished', 'Available early May']"
62489677,55,end_terrace,4 bed end terrace house to rent,2024-03-15T11:18:45,"Foxcombe Road, Bath, Somerset BA1",51.385773,-2.390893,3250,3250,3250,3250,0,4,4,4,False,False,False,"['Living Room', 'Sitting Room', 'Dining /Breakfast Room', 'Kitchen', 'Cloakroom', '4 Bedrooms', '2 Bathrooms', 'Garden', 'Garage', 'Driveway Parking']"
52599675,56,flat,2 bed flat to rent,2023-11-14T14:58:18,"Brockham End Mews, Brockham End, Lansdown, Bath BA1",51.424461,-2.408814,1595,1595,1750,1500,1,2,2,2,False,False,False,"['2 Bedrooms', '2 bathrooms', 'Open plan living room/kitchen', 'Garden', 'Off street parking']"
66729434,57,flat,2 bed flat to rent,2024-02-26T15:02:51,"Wellsway, Bath BA2",51.374058,-2.366802,1095,1095,1250,1000,1,2,2,2,False,False,False,"['Brand new two bedroom upper floor apartment', 'Electric central heating', 'Laminate flooring throughout', 'Open plan kitchen/living room', 'Two double bedrooms', 'Shower room', 'Situated in the sought after Bearflat area of Bath', 'Unfurnished', 'Available immediately']"
64968568,58,terraced,1 bed terraced house to rent,2024-03-07T11:47:08,"Burnham Road, Bath BA2",51.380209,-2.385919,2340,2340,2500,2250,1,1,1,1,False,False,True,"['Electricity', 'Gas', 'Internet', 'Water', 'Fireplace', 'Open plan kitchen living area', 'Smart TV included', 'Two bathrooms']"
67048478,59,flat,2 bed flat to rent,2024-04-06T12:28:03,"Sion Road, Bath BA1",51.395607,-2.368081,2400,2400,2500,2250,1,2,2,2,False,False,False,"['No utility costs - all inclusive rental price', 'Beautifully renovated', 'Private entrance', 'Off Street parking', 'Electric charging point', 'Private outside space', 'Maintained grounds']"
66780504,60,flat,2 bed flat to rent,2024-03-04T09:52:06,"Chatham Park, Bath BA2",51.383102,-2.343424,1500,1500,1500,1500,0,2,2,2,False,False,False,"['Second Floor Apartment', 'Semi Furnished', 'Balcony', 'Superb Views over Bath', 'Gas Central Heating']"
58666108,61,flat,1 bed flat to rent,2024-02-28T10:09:13,"Pulteney Road, Bath BA2",51.37669,-2.352873,1250,1250,1250,1250,0,1,1,1,False,False,False,"['Student Accommodation', 'Central Location', 'All Bills Included', 'Communal Courtyards', 'Fully Furnished', 'Available September']"
67004360,62,flat,2 bed flat to rent,2024-04-01T13:11:41,"Haygarth Court, Bath BA1",51.390281,-2.363109,1750,1750,1750,1750,0,2,2,2,False,False,False,"['No Agent Fees', 'Students Can Enquire', 'Property Reference Number: 1700488']"
66875540,63,detached,4 bed detached house to rent,2024-03-15T03:03:22,"Bannerdown Road, Batheaston, Bath BA1",51.409854,-2.303783,4250,4250,4250,4250,3,4,4,4,False,False,False,"['Spacious 2 storey accommodation', 'Well presented throughout', 'Ample off road parking', 'Large garden', 'Easy access Bath city centre']"
66889490,64,semi_detached,4 bed semi-detached house to rent,2024-03-17T00:11:28,"Wellsway, Bath BA2",51.373072,-2.366028,2500,2500,2500,2500,2,4,4,4,False,False,False,"['Available April', 'Enclosed Rear Garden', 'Gas Central Heating', 'Off Road Parking', 'Unfurnished', 'Spacious Home']"
66712717,65,detached,4 bed detached house to rent,2024-02-23T11:17:16,"Entry Hill Park, Bath BA2",51.361801,-2.36332,1850,1850,2000,1750,2,4,4,4,False,False,False,"['Sought after cul-de-ac location', 'Modern kitchen', 'Modern double glazing', 'Garage &amp; driveway', 'Stunning views across Bath', 'Close to local schools', 'Close to local transport links']"
67051281,66,detached,2 bed detached house to rent,2024-04-08T03:14:29,"Crescent Lane, Bath BA1",51.387626,-2.369641,1975,1975,2000,1750,0,2,2,2,False,False,False,"['No Agent Fees', 'Students Can Enquire', 'Property Reference Number: 2046014']"
51458354,67,flat,1 bed flat to rent,2024-04-04T13:46:05,"Wells Road, Bath BA2",51.37685,-2.36796,1095,1095,1250,1000,1,1,1,1,False,False,False,"['One bedroom apartment', 'First Floor', 'Situated very close to Bath City Centre', 'Stunning views', 'Electric heating', 'On road parking (non allocated)', 'Communal garden', 'Unfurnished', 'Available early May']"
66984209,68,terraced,2 bed terraced house to rent,2024-03-28T09:56:42,"Hardys Close, Bathpool, Taunton TA2",51.036655,-3.051275,1100,1100,1250,1000,1,2,2,2,False,False,False,"['A well presented modern terrace home in a cul de sac position', 'Monkton Heathfield', 'Drive parking to the front', 'Good sized enclosed rear garden', 'Entrance hall with stairs to the first floor', 'Cloakroom/wc', 'Open plan living/dining/kitchen with integrated appliances', 'Two good sized bedrooms', 'Bathroom', 'Available now']"
67037217,69,detached,6 bed detached house to rent,2024-04-05T09:23:34,"Church Street, Kilmersdon, Radstock BA3",51.270523,-2.4369,3250,3250,3250,3250,3,6,6,6,False,False,False,"['Grade II Listed', 'Traditional Architecture', '6 Bedrooms', '3 Reception Rooms', '3 Bathrooms', 'Formal Gardens', 'Self Contained Ground Floor Studio', 'Detached Coach House']"
67029717,70,flat,2 bed flat to rent,2024-04-04T13:22:49,"Midland Road, Bath BA2",51.384124,-2.376784,2300,2300,2500,2250,0,2,2,2,False,False,False,"['No Agent Fees', 'Students Can Enquire', 'Property Reference Number: 2042616']"
67078947,71,flat,1 bed flat to rent,2024-04-10T15:21:02,"Wells Road, Bath BA2",51.376793,-2.366063,1100,1100,1250,1000,0,1,1,1,False,False,False,"['1 Bedroom Property', 'Large Lounge', 'Modernised Kitchen', 'Top Floor Flat', 'Close To City Centre']"
66792612,72,flat,2 bed flat to rent,2024-03-05T12:28:46,"North Building, Bath BA1",51.3867793606557,-2.39083356284153,2000,2000,2000,2000,0,2,2,2,False,False,False,"['No Agent Fees', 'Students Can Enquire', 'Property Reference Number: 2009708']"
67032898,73,semi_detached,3 bed semi-detached house to rent,2024-04-04T17:07:44,"School Lane, Kilmersdon, Radstock BA3",51.271916,-2.440988,1400,1400,1500,1250,0,3,3,3,False,False,False,"['No Agent Fees', 'Students Can Enquire', 'Property Reference Number: 2034945']"
43600234,74,flat,1 bed flat to rent,2024-04-09T16:18:22,"Station Road, Lower Weston, Bath BA1",51.383203,-2.388846,1375,1375,1500,1250,1,1,1,1,False,False,False,"['New Kitchen', 'New Bathroom', 'Unfurnished', 'Rooftop Terrace Garden', 'Close to the ruh', 'Enviable Location', 'New Flooring']"
67087791,75,flat,1 bed flat to rent,2024-04-11T14:08:57,"The Brook, Lower Bristol Road, Bath BA2",51.38219,-2.379541,1430,1430,1500,1250,1,1,1,1,False,False,True,"['Students only', 'No professionals/families', 'Available September 2024', 'Starting from £329 a week']"
67033101,76,detached,3 bed detached house to rent,2024-04-04T18:06:53,"Woolverton, Bath BA2",51.284526,-2.300718,2000,2000,2000,2000,1,3,3,3,False,False,False,"['Character Cottage Available Now', 'Countryside Views', 'Furnished', 'Open Plan Living', 'Three Bedrooms', 'Two Bathrooms']"
58667808,77,flat,1 bed flat to rent,2024-02-28T10:07:55,"Pulteney Road, Bath BA2",51.382816,-2.351842,1643,1643,1750,1500,0,1,1,1,False,False,False,"['Student Accommodation', 'Modern Apartments', 'Henrietta Park Nearby', 'All Bills Included', 'Fully Furnished']"
65373456,78,flat,1 bed flat to rent,2023-08-15T09:20:25,"Amrby House, St. James's Parade, Bath BA1",51.379269,-2.360687,1820,1820,2000,1750,0,1,1,1,False,False,True,"['Electricity', 'Gas', 'Internet', 'Satellite Cable TV', 'Step free access', 'Rural/secluded', 'Larger than average room sizes', 'Smart TV included', '3 minute walk to bath spa station']"
56162499,79,terraced,3 bed terraced house to rent,2024-04-09T10:35:29,"Triangle North, Bath BA2",51.377899,-2.38068,1850,1850,2000,1750,2,3,3,3,False,False,False,"['Gas central heating', 'Double Glazed', 'Three bedrooms plus study', 'Close to Moorland Road', 'Light and Airy', 'Ideal for x3 professional sharers']"
66750387,80,semi_detached,3 bed semi-detached house to rent,2024-02-28T15:54:16,"Freshford Lane, Freshford Lane, Freshford, Bath, Somerset BA2",51.338592,-2.311853,2495,2495,2500,2250,2,3,3,3,False,False,False,"['Village location', 'Driveway parking', 'Completely refurbished', 'Open plan kitchen']"
59465037,81,flat,1 bed flat to rent,2024-04-05T11:05:20,"Belvedere, Bath BA1",51.388308,-2.361398,1300,1300,1500,1250,0,1,1,1,False,False,False,"['One Double Bedroom', 'First Floor Apartment', 'Central Bath Location', 'Gas Central Heating', 'View Across The City Centre', 'White Goods Included', 'Offered Unfurnished', 'Available May']"
66968486,82,flat,2 bed flat to rent,2024-03-26T16:44:38,"Weston Park West, Bath BA1",51.394592,-2.381469,1400,1400,1500,1250,0,2,2,2,False,False,False,"['First Floor, 2 Bedroom Apartment', 'Private Balcony', 'Located in Weston Park', 'Direct access to the Cotswold Way', '15 minute walk into city centre', 'Private road, tranquil, secluded area', 'Council Tax Band C', 'EPC rating C']"
66890572,83,flat,1 bed flat to rent,2024-03-17T15:18:15,"Crescent Gardens, Bath BA1",51.383947,-2.370186,1450,1450,1500,1250,0,1,1,1,False,False,False,"['No Agent Fees', 'Students Can Enquire', 'Property Reference Number: 2022922']"
66989764,84,flat,1 bed flat to rent,2024-03-28T15:39:45,"Lansdown Crescent, Bath BA1",51.392541,-2.365901,2000,2000,2000,2000,1,1,1,1,False,False,False,"['First floor Georgian apartment', 'Council Tax band D', 'Available April', 'Furnished']"
66607883,85,terraced,2 bed terraced house to rent,2024-02-09T14:44:02,"Willow Close, Bath BA2",51.354162,-2.374398,1600,1600,1750,1500,0,2,2,2,False,False,False,"['No Agent Fees', 'Property Reference Number: 1978664']"
66313215,86,flat,2 bed flat to rent,2024-01-02T09:27:56,"Governors House, Stuart Place, Bath BA2",51.38004,-2.379926,610,610,700,600,0,2,2,2,False,False,False,[]
66239349,87,maisonette,3 bed maisonette to rent,2023-12-13T15:08:12,"Lansdown Road, Bath BA1",51.391196,-2.363821,1595,1595,1750,1500,1,3,3,3,False,False,False,"['Private Garage', 'Not suitable for Pets', 'Communal gardens', 'Close proximity to Lansdown Tennis Club', 'Motorway access via Lansdown Road']"
66354985,88,detached,5 bed detached house to rent,2024-01-08T16:43:34,"London Road West, Bath, Somerset BA1",51.401485,-2.329704,5000,5000,5000,5000,0,5,5,5,False,False,False,"['Kitchen/dining room', 'Drawing Room', 'Cinema Room', 'Cloakroom', '5 Bedrooms', '4 Bathrooms', 'Large Garden', 'Driveway parking', 'Great south facing views']"
53918792,89,terraced,3 bed terraced house to rent,2023-11-21T09:20:54,"Kennington Road, Lower Weston BA1",51.385538,-2.389613,1800,1800,2000,1750,1,3,3,3,False,False,True,"['Three Bedroom Student House', 'Located just off Chelsea Road in Newbridge', 'Modern spacious home', 'Ideal for smaller group', 'Available August 2024', 'Contact us to arrange early viewing']"
67019617,90,semi_detached,2 bed semi-detached house to rent,2024-04-03T12:54:10,"St. Hughs, Radstock BA3",51.2905895822369,-2.45130066776316,1250,1250,1250,1250,0,2,2,2,False,False,False,"['No Agent Fees', 'Property Reference Number: 2032631']"
66907880,91,flat,2 bed flat to rent,2024-03-19T16:57:40,"Grosvenor Place, Larkhall, Bath BA1",51.394313,-2.345831,2200,2200,2250,2000,1,2,2,2,False,False,False,"['Spacious two bedroom apartment', 'Main bedroom featuring en-suite and gas fireplace', 'Separate shower room', 'Galley kitchen with fitted appliances', 'Period features and tastefully decorated', 'Balcony to front and back of the property', 'Ideal location', 'Council Tax Band D', 'On street parking', 'Available now']"
67084955,92,mews,2 bed mews to rent,2024-04-11T10:21:03,"Sydney Mews, Bathwick, Bath BA2",51.3843,-2.352,1350,1350,1500,1250,1,2,2,2,False,False,False,"['6 month term only', 'Parking', 'Garage', 'Flat stroll to city centre']"
66974324,93,flat,2 bed flat to rent,2024-03-27T11:02:41,"Lansdown Road, Bath, Somerset BA1",51.38915,-2.362382,2500,2500,2500,2500,0,2,2,2,False,False,False,"['Open plan Living Room/Kitchen/Dining Room', 'Two double bedrooms', 'Two bathrooms', 'Rear terrace and Garden', 'Garage', 'Off street parking space', 'Furnished']"
64786420,94,flat,2 bed flat to rent,2023-06-05T09:08:02,"Lansdown Crescent, Bath BA1",51.392426,-2.365631,2500,2500,2500,2500,1,2,2,2,False,False,False,[]
66853679,95,detached,2 bed detached house to rent,2024-03-12T21:42:42,"Bath, Bath BA1",51.39899,-2.397562,1700,1700,1750,1500,0,2,2,2,False,False,False,"['No Agent Fees', 'Property Reference Number: 2017306']"
55069688,96,detached,4 bed detached house to rent,2024-01-25T11:03:28,"Wellow, Bath BA2",51.3204,-2.380209,2300,2300,2500,2250,2,4,4,4,False,False,False,"['Double glazed', 'Parking and garage', 'Stunning views', 'Ideal family house', 'Four bedrooms', 'Shower room and bathroom', 'Oil central heating', 'Balcony', 'Easy access to Bath']"
66616724,97,terraced,2 bed terraced house to rent,2024-02-11T21:19:11,"Park Lane, Bath BA1",51.38614,-2.378826,2300,2300,2500,2250,0,2,2,2,False,False,True,"['No Agent Fees', 'Only Available to Students', 'Property Reference Number: 1984765']"
63870487,98,flat,1 bed flat to rent,2024-04-09T14:15:29,"North Parade, Bath BA1",51.379798,-2.357709,1695,1695,1750,1500,1,1,1,1,False,False,False,"['Gas central heating', 'Central Location', 'Open plan lounge/kitchen', 'A must see']"
67065542,99,semi_detached,3 bed semi-detached house to rent,2024-04-09T12:12:30,"Odins Road, Bath BA2",51.359417,-2.381651,1750,1750,1750,1750,0,3,3,3,False,False,False,"['No Agent Fees', 'Property Reference Number: 2037183']"
67058415,100,terraced,3 bed property to rent,2024-04-08T15:54:53,"Waller Gardens, Lansdown, Bath BA1",51.40784,-2.371782,1750,1750,1750,1750,1,3,3,3,False,False,False,"['New Build Home', '3 Bedrooms', 'En-Suite to Master', 'Low Maintenance Garden', 'Large Kitchen/Diner', 'Available 22nd April', 'Deposit £1615', 'Council Tax Band D']"
67082057,101,flat,1 bed flat to rent,2024-04-10T22:13:26,"Avon Studios, Midland Road, Bath BA1",51.384697,-2.376385,1337,1337,1500,1250,1,1,1,1,False,False,True,"['Students only', 'No professionals/no familys', 'Available September 2024', 'Starting from £308 a week']"
60870296,102,terraced,1 bed property to rent,2024-04-10T11:24:48,"Mayfield Road, Bath BA2",51.376247,-2.381388,850,850,900,800,1,1,1,1,False,False,False,"['Available now', 'Oldfield park', '1 bedroom garden house', 'Kitchen, living room, dining/office area', '£900PCM/£207.69 pw']"
67010500,103,semi_detached,6 bed semi-detached house to rent,2024-04-02T13:34:08,"Haycombe Drive, Bath BA2",51.373622,-2.403505,4735,4735,4750,4500,0,6,6,6,False,False,False,"['No Agent Fees', 'Students Can Enquire', 'Property Reference Number: 2033320']"
